Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Crux climate,Abandoned Farmland Restoration,Distributed Energy Storage,"tensor(0.6409, device='mps:0')","Our vision is to make the earth green again, by stopping and reversing desertification and soil degradation. With our unique product we want to turn degraded land and sand to fertile soil, and at the same time reduce the water usage for green ecosystems up to 50 percent.",The process of rejuvenating deserted agricultural lands to restore ecological functions and enhance their ability to serve as carbon sinks.,https://www.desertcontrol.com
Foundation for climate restoration,Abandoned Farmland Restoration,nan,"tensor(0.5901, device='mps:0')",Foundation for Climate Restoration is creating an ecosystem that supports climate restoration.,The process of rejuvenating deserted agricultural lands to restore ecological functions and enhance their ability to serve as carbon sinks.,https://www.f4cr.org
Soilc company,Abandoned Farmland Restoration,nan,"tensor(0.5846, device='mps:0')",Use of fungi to capture carbon and fertilise land,The process of rejuvenating deserted agricultural lands to restore ecological functions and enhance their ability to serve as carbon sinks.,https://www.soilcquest.org.au
Control desert,Abandoned Farmland Restoration,nan,"tensor(0.5635, device='mps:0')","Working for a more Green and Sustainable Planet by turning arid land and 
 desert sand into fertile soil.",The process of rejuvenating deserted agricultural lands to restore ecological functions and enhance their ability to serve as carbon sinks.,https://www.desertcontrol.com
Sola.io,Abandoned Farmland Restoration,nan,"tensor(0.2770, device='mps:0')","Bringing Power, Back To People Bringing Power Back to People",The process of rejuvenating deserted agricultural lands to restore ecological functions and enhance their ability to serve as carbon sinks.,https://www.sola.io
Carboncure,Alternative Cement,nan,"tensor(0.6470, device='mps:0')","From Carbon to Simply Better Concrete. CarbonCure manufactures a technology for concrete producers that introduces recycled CO2 into fresh concrete. In a process known as CO2 mineralization, the CO2 is converted to a mineral and becomes permanently captured. This enables production efficiencies as well as carbon footprint reductions.","Cement production methods that deviate from traditional Portland cement, typically resulting in reduced carbon emissions.",https://www.carboncure.com
Carbon upcycling,Alternative Cement,nan,"tensor(0.6154, device='mps:0')","Carbon Upcycling Technologies uses the pollution of today to build the materials of tomorrow. Making CO2 Green. We convert CO2 emissions to better performing concrete, plastics, and other materials we use everyday","Cement production methods that deviate from traditional Portland cement, typically resulting in reduced carbon emissions.",https://www.carbonupcycling.com
Calera,Alternative Cement,nan,"tensor(0.6061, device='mps:0')",Calera Corporation develops a cementitious material that provides significant economic saving and reduces CO₂ emissions.,"Cement production methods that deviate from traditional Portland cement, typically resulting in reduced carbon emissions.",https://www.calera.com
Prometheus materials inc.,Alternative Cement,Alternative Cement,"tensor(0.5545, device='mps:0')","Prometheus Materials provides sustainable building materials that accelerate the world’s transition to a carbon-negative future. Inspired by biological processes found in nature, the company's process uses microalgae to produce a bio-cement that offers an alternative to carbon-intensive portland cement. When mixed with aggregate, this bio-cement forms an ultra low-carbon bio-concrete with mechanical, physical and thermal properties that rival those of portland cement-based concrete.","Cement production methods that deviate from traditional Portland cement, typically resulting in reduced carbon emissions.",https://www.prometheusmaterials.com
Carbicrete,Alternative Cement,nan,"tensor(0.5539, device='mps:0')","The cement-free, carbon-negative concrete solution Low-cost building solutions that reduce","Cement production methods that deviate from traditional Portland cement, typically resulting in reduced carbon emissions.",https://www.carbicrete.com
Green minerals,Alternative Refrigerants,nan,"tensor(0.5090, device='mps:0')","Manufacturing solid products with CO2, CO2 can be used to manufacture products in which the CO2 is permanently stored. And beneficial products can be used in a few markets: - concrete - paper (to replace the conventional lime) - polymers (to replace the traditional functional fillers)","Chemicals or blends used in place of conventional refrigerants, aiming to minimize greenhouse gas emissions.",https://www.green-minerals.nl
C4x green carbon,Alternative Refrigerants,nan,"tensor(0.4803, device='mps:0')","C4X is to capture & convert CO2 from industrial flue gas into chemicals (Ethylene carbonate, Ethylene glycol) and methanol with 95% selectivity & conversion rate and micro-foamed PP sheets with 3-30 times foaming ratio. EC is component of lithium battery electrolyte for electric cars; EG, basic material for textile polyester & PET bottles; Methanol is fuel. Foamed PP sheets can be used as interior parts for airplanes, highspeed trains, automobiles, building insulation products & coffee cups","Chemicals or blends used in place of conventional refrigerants, aiming to minimize greenhouse gas emissions.",https://www.ccccx.net
C16 biosciences,Alternative Refrigerants,nan,"tensor(0.4706, device='mps:0')","C16 uses microbiology to brew sustainable, conflict-free palm oil to reduce global CO2 emissions.","Chemicals or blends used in place of conventional refrigerants, aiming to minimize greenhouse gas emissions.",https://www.c16bio.com
Air liquide,Alternative Refrigerants,nan,"tensor(0.4518, device='mps:0')","Air Liquide supplies industrial gases and services to various industries including medical, chemical and electronic manufacturers.","Chemicals or blends used in place of conventional refrigerants, aiming to minimize greenhouse gas emissions.",https://www.airliquide.com
Skycool systems,Alternative Refrigerants,nan,"tensor(0.4326, device='mps:0')","SkyCool Systems At SkyCool Systems, our mission is to deliver sustainable, energy-efficient cooling solutions to customers interested in reducing energy costs and carbon footprint. We’ve developed a thin film coating that can cool below the ambient air temperature with no electricity input, and without evaporating water. The films can stay cooler than the air temperature, even under direct sunlight. We apply the film to rooftop panels and integrate them with air conditioning and refrigeration systems. The panels can be used as an add-on to air conditioning and refrigeration systems and in some circumstances even replace an air condensing unit. Our technology is accelerating the transition to a cleaner and more sustainable future. SkyCool Systems is a team of dedicated engineers, scientists and business operators that are passionate about mitigating the effects of global warming and using SkyCool’s technology to reduce rising temperatures around the world. SkyCool was founded in 2016 on the premise that constantly-powered cooling systems play a large role in contributing to climate change, and new cooling solutions are needed to move toward a clean energy future.","Chemicals or blends used in place of conventional refrigerants, aiming to minimize greenhouse gas emissions.",https://www.skycoolsystems.com
Rizome,Bamboo Production,nan,"tensor(0.5273, device='mps:0')",RIZOME RIZOME is pioneering bamboo engineered lumber as a primary regenerative global construction material.,"The cultivation and production of bamboo, often regarded as a sustainable, low-carbon alternative material due to its rapid growth.",https://www.rizomeco.com
