"Reference number",Title,URL,"Date of submission",Countries,"Request proponent","Request proponent URL","Geographical scope",Objective,Sectors,"Cross-sectoral enabler",Approach,"Final type of assistance",Phase,Regions,"Request NDE","Duration range","Budget range",Implementors,"Other partners involved","CTCN Keyword Matches",Description,Planners,"Planners URL","Sustainable Development Goals","Relevant technologies"
2014000017,"Technical support for the government in the identification of technology needs",https://www.ctc-n.org/technical-assistance/projects/technical-support-government-identification-technology-needs,"Sun, 05/04/2014",Afghanistan,,,National,"Adaptation, Mitigation",Cross-sectoral,"Capacity building and training, Governance and planning",,"Technology identification and prioritisation",Completed,,"National Environment Protection Agency of Afghanistan",,$20-50k,"United Nations Environment Programme","UNEP Post-Conflict and Disaster Management Branch",Afghanistan,"This Technology Transfer Advances Afghanistan's
Nationally Determined Contribution to ""Identify and mainstream climate change adaptation technologies into the sectoral policies, strategies and development plans, and promotion of regional and international cooperation and coordination for adaptation technology transfer "".
Context
As a mountainous country, with dry lands and frequent droughts, Afghanistan experiences increasing extreme weather that affect the availability of water, threatening the supply of drinking water, as well as crop production, very much dependent on irrigation. Afghanistan has also a good potential for generating renewable energies, such as hydropower, solar and wind energy to contribute to reduce climate change and pave the way for a low-carbon development. The government therefore seeks to identify the appropriate technologies to disseminate in the country to mitigate and adapt to the changing climate.
Technology Request
In order to develop its mitigation and adaptation options to climate change impacts, the government of Afghanistan asked CTCN for assistance in identifying technology  needs  in  its three most  vulnerable  sectors, according to its National  Adaptation Programme of Action.
CTCN Support
The CTCN and partner United Nations Environment Programme, with the expertise of the UN Environment Post Conflict and Disaster Management Branch, worked with the National Environment Protection Agency and other ministries to identify and advocate for suitable technologies for ow-carbon and climate resilient development in agriculture, water, and energy. Furthermore the assistance reuslted in:   
Development of a planning roadmap for mainstreaming climate technology priorities in key sectors
Development of three project  concepts,  namely  a “Renewable Energy and Sustainable Rural Electrification Support  Program”;  a  “Forestry  Institutions,  Restoration and Science Technology for Afghanistan” project; and a “Climate Early Warning Integrated Mountain System and Ecological Observatory”
Briefing  papers  and  training  materials  to  build  capacity  of  policy makers   and   other   key   stakeholders   to   incorporate   climate technology priorities into national planning 
Increased national capacity to identify climate technology priorities and access investment and funding for climate technology in Afghanistan
For further details, please see Documents section below.
Relevant Technologies and Approaches
Technology Needs Assessment
Expected Impact
Compendium of climate technology options
Technology project concepts
Planning roadmap for mainstreaming climate technology priorities
Strengthened political will and support for mitigation and adaptation technologies
Strengthened understanding of mitigation and adaptation technologies among policymakers, and therefore created a strong basis in the country for conducting the TNA/TAP and for the implementation of new technology initiatives to support sustainable development in Afghanistan. 
The government of Afghanistan now has at its disposal a compendium of  technologies that can be instrumental to implementing its Nationally Determined Contributions. The roadmap and capacity building will inform new policies to be developed and will provide a solid basis for the country to conduct a Technology Needs Assessment and Technology Action Plan in 2017.
Country Partners
Afghanistan National Disaster Management Authority; Ministry of Agriculture; Ministry of Economy; Ministry of Energy and Water; Ministry of Finance; Ministry of Foreign Affairs; Ministry of Rural Rehabilitation and Development.",,,"Clean water and sanitation, Affordable and clean energy, Climate action","Agroforestry, Biomass power, Crop diversification and new varieties, Daylight harnessing, Flood hazard mapping, General agro-forestry, silviculture and mixed farming solutions, Geothermal electricity, Insulation in buildings, Integrated gasification combined-cycle, Efficient lighting, Livestock disease management, Point of use water treatment, Rainwater harvesting, Selective breeding via controlled mating, Small hydropower, Drip irrigation, Solar cooking, Solar heating, Solar lamps, Solar PV, Water Safety Plans, Technology Needs Assessments, Heating- Ventilation and Air Conditioning"
2015000048,"Regional Energy Efficiency Action Plan",https://www.ctc-n.org/technical-assistance/projects/regional-energy-efficiency-action-plan,"Thu, 06/25/2015",Albania,"Republic of Albania Ministry of Energy and Industry","Republic of Albania Ministry of Energy and Industry",National,Mitigation,"Energy efficiency",,,"Decision-making tools and/or information provision",Completed,,"Albanian Ministry of Environment, Forestry and Water Administration","2-6 months",$50-100k,"UNEP Copenhagen Climate Centre (UNEP-CCC)",,"Building envelope thermal insulation, Community based, Energy efficiency, Industry, More efficient train system, Stakeholder consultations","This Technology Transfer Advances Albania's
Nationally Determined Contribution to ""commit to reduce CO2 emissions compared to the baseline scenario in the period of 2016 and 2030 by 11.5 %. This reduction means 708 kT carbon-dioxide emission reduction in 2030"".
CTCN Response
Develop the first local-level plan for energy efficiency and achievement
Provide training to enhance understanding of national energy plans among regional stakeholders and local government employees
Relevant Technologies and Approaches
Energy savings in buildings
Insulation in buildings
Building envelope thermal insulation 
Expected Results
First inter-regional energy efficiency plan with clear steps for mitigation actions at the community level
Potential for future plan replication in other regions.
Country Partners
Ministry of Energy and Industry; RCE middle Albania; Meister Consultants Group",,,"Affordable and clean energy, Climate action, Partnerships for the goals","Building envelope thermal insulation, Insulation in buildings, Energy Savings in buildings"
2015000037,"Workforce Development Strategy for Antigua and Barbuda’s Priority Energy Sectors",https://www.ctc-n.org/technical-assistance/projects/workforce-development-strategy-antigua-and-barbuda-s-priority-energy,"Sun, 02/08/2015","Antigua & Barbuda",,,National,"Adaptation, Mitigation",Cross-sectoral,,,"Technology identification and prioritisation",Completed,,"Environment Division - Ministry of Agriculture, Housing, Lands and the Environment","2-6 months",$20-50k,"National Renewable Energy Laboratory","International Renewable Energy Agency","Antigua and Barbuda, Peat carbon management, Renewable energy, Small-scale wind, Gender","This Technology Transfer Advances Antigua and Barbuda's
Nationally Determined Contribution to ""enhance the established enabling legal, policy and institutional environment for a low carbon emission development pathway to achieve poverty reduction and sustainable development"".
Sustainable Energy Action Plan
2010 National Energy Policy
Context
Antigua and Barbuda currently generates nearly all of its electricity from imported fossil fuels, resulting in high costs and greenhouse gas emissions.  The government of Antigua and Barbuda is addressing these challenges through several goals and policies. The 2010 National Energy Policy contains goals to reduce energy costs, diversify from fossil fuels, and develop new technologies and sectors. The 2013 Sustainable Energy Action plan builds off of the 2010 policy by providing a comprehensive roadmap for renewable energy and energy efficiency policy development, with recommendations for the creation of certain government institutions, policies, and proposed budgets.
Technology Request
The Environment Department within Antigua and Barbuda's Ministry of Health and the Environment requested support in identifying relevant energy efficient and renewable energy technologies and the development of a workforce strategy to mobilize local labor for implementation projects in fulfillment of the country’s Nationally Determined Contribution (NDC). 
CTCN Support
The CTCN and partner, the National Renewable Energy Laboratory (NREL), provided the following technology assistance in Antigua and Barbuda:
In-country assessment of Antigua and Barbuda’s energy context, clean renewable energy deployment goals, NDC priorities, current barriers, and possible policy, market or other solutions, including those for mobilizing private sector investment;
Analysis of recommendations for renewable energy technologies (such as solar photovoltaic and wind power) and suppliers; and 
Development of a workforce strategy identifying short, medium, and long term actions for Antigua and Barbuda to enhance local capacity to implement priority energy sector projects that can help the country to meet its Nationally Determined Contribution.
The workforce strategy includes the purpose and objectives, a budget for programme development and implementation, and key stakeholders and their roles in implementation. The document also describes the expected workforce breakdown, a baseline skills profile of the islands of Antigua and Barbuda, and anticipated areas of skills shortages. The strategy further defines the objectives of the workforce and training activities, as well as actions needed to achieve these objectives. The document then goes on to note potential partner organizations, including regional and international finance and development institutions.

For further details, please see Documents section below.
Key technologies addressed
solar photovoltaic
waste to energy
wind power
Expected Impact
Short Term
The following technologies were prioritized as leading opportunities for Antigua and Barbuda to develop their local workforce, in line with its NDC:
Renewable energy electricity generation
Solar PV
Wind
Waste to energy
Energy efficiency and resiliency
Energy efficiency and resilient retrofits
Energy efficiency and resilient new buildings
Solar hot water

The Technical Advisory Committee, a multistakeholder committee that includes seventeen government departments with responsibilities for environment, waste, energy, water, land management, development, and standards; three nongovernmental organizations; and one private sector coalition representative validated the CTCN workforce strategy.
The relevant ministries of Antigua and Barbuda plan to utilize the workforce strategy to develop training components of future energy projects to be developed; and
The Department of Environment improved capacity of to support implementation of national energy policies and goals such as the design of future renewable energy projects and programs.
Medium Term
Diversified energy mix which moves away from total reliance on fossil fuels;
Decreased energy costs due to enhanced competition among energy providers and utilizing lower cost resources, including renewable energy; and
Encouraging economic development with increased private sector participation in developing new energy projects.
Long Term
Increased energy independence away from imported fuels;
Enhanced climate resiliency through the deployment of hurricane resistant energy generation and off grid technologies; and
Reduced GHG emissions by diversifying the country's energy mix to include greater amounts of solar PV, and wind, and other clean energy sources.
Gender Considerations
In general, women are often underrepresented in the energy sector. In line with equal employment principles, the workforce strategy actively encourages the participation of women and under-represented groups in all sectors of the workforce. The Directorate of Gender Affairs; Community Development Division; and the Professional Organization for Women in Antigua and Barbuda are identified in the strategy as potential leads in the implementation and oversight of the engagement of women in Antigua and Barbuda's energy workforce development.",,,"Affordable and clean energy, Industry, innovation and infrastructure, Climate action","Energy supply from waste, On-shore wind, Solar PV"
2014000010,"Development of a Mechanical-Biological Treatment (MBT) pilot project of the Waste NAMA in Cali",https://www.ctc-n.org/technical-assistance/projects/development-mechanical-biological-treatment-mbt-pilot-project-waste,"Thu, 03/20/2014",Colombia,,,Sub-national,Mitigation,"Waste management","Economics and financial decision-making",,"Feasibility of technology options",Completed,,"Directorate of Climate Change of the Ministry of Environment and Sustainable Development","2-6 months",$50-100k,"International Solid Waste Association","International Solid Waste Association","Integrated solid waste management, Municipal solid waste","This Technology Transfer Advances Colombia's
Nationally Determined Contribution to ""Reduce its greenhouse gas emissions by 20% with respect to the projected Business-as-Usual Scenario (BAU) by 2030"".
Context
The Colombian government has reformed its solid waste management regulations to enable the use of alternative treatment technologies. Current tariff structures do not recognize alternative treatment methods (recycling, compost, RDF, etc.) as part of a waste public service. In addition, the absence of a coordinated, national solid waste management policy, and a city-level action plan for integrated waste management policies, hampers the implementation of the project. Colombia is proposing the implementation of the Solid Waste Nationally Appropriate Mitigation Action (NAMA) pilot project, to shift the view of conventional waste management and promote alternative treatment methods, between public and private stakeholders and policymakers of the country.
Technology Request
The City of Cali requested a quick response assistance with deploying an alternative Municipal Solid Waste (MSW) treatment plant that will contribute to reducing GHG emissions. 
CTCN Support
The CTCN and partner, the International Solid Waste Association (ISWA), provided the following technology assistance in Colombia:
Conduct technical feasibility study, including existing studies to identify appropriate technology
Elaborate on  deployment  structures  for  the  selected,  treatment technology
Create business  model  for  MSW plant
Develop a plan to access financing
Conduct capacity  building  activities on operation  of  selected  plant 
Conduct technical  studies  to  determine  the  most  feasible  waste  treatment  technology  for  two additional pilot cities to facilitate replication and up-scaling
For further details, please see Documents section below.
Relevant Technologies and Approaches
Integrated Solid Waste Management​
Expected Impact
Demonstration of the technical  and  financial  feasibility  of  an  alternative MSW treatment  plant
Implementation of MSW plant
Job creation
More efficient waste sector and role model function for to the region
Reduced GHG (mainly CH4) emissions from landfills
Country Partners
Administrative Department of Environmental Management (DAGMA); Autonomous University of the West Cali; Carvajal Foundation; CEMPRE; Ministry of Environment and Sustainable Development, Climate Change Division; Ministry of Housing, Cities and Territory; Regional Autonomous Corporation of the Cauca River Valley; Universidad de Valle and Universidad (ICESI); Social Wealth Secretariat of Santiago de Cali.",,,"Industry, innovation and infrastructure, Sustainable cities and communities, Climate action","Integrated solid waste management"
2014000012,"Monitoring and evaluation of national promotion policies for energy efficiency and renewable energy within industrial and transport sectors",https://www.ctc-n.org/technical-assistance/projects/monitoring-and-evaluation-national-promotion-policies-energy,"Wed, 03/19/2014",Colombia,,,National,Mitigation,Cross-sectoral,,,"Decision-making tools and/or information provision",Completed,,"Directorate of Climate Change of the Ministry of Environment and Sustainable Development","2-6 months",$50-100k,"Bariloche Foundation, The Netherlands Organisation for Applied Scientific Research , National Renewable Energy Laboratory",,"Colombia, Ecosystem monitoring, Energy efficiency, Greenhouse crop management, Industry, Netherlands, Renewable energy, Stakeholder consultations, Tourism, Transport, Waste heat recovery","This Technology Transfer Advances Colombia's
Strategy for Low Carbon Development (ECDBC), and the Program for Promotion of Rational and Efficient Use of Energy (PROURE). 
Nationally Determined Contribution to reduce its greenhouse gas emissions by 20% with respect to the projected BAU scenario by 2030 (unilateral and unconditional) and to increase its ambition to 30% with respect to BAU by 2030 (conditional and subject to international support).  
Context
Colombia's government has been working together with several stakeholders at the national level, to guide the country into sustainable ways of development. Maintaining economic growth while reducing greenhouse gas emissions of production sectors is one of the objectives of Colombia's environmental policies and strategies today. Specifically the energy sector has a cross-cutting importance because of its impacts on the entire economy. Therefore the government has been progressing the implementation of national policies to promote increased adoption of energy efficiency measures and renewable energy source. These measures include technical regulations, financial incentives, institutional development and technical capacity building. There is now a need to provide international technical expertise to assess the efficiency of using different kinds of incentives, such as financial, for energy efficiency and non-conventional energy sources, and to design a mechanism to monitor and evaluate the benefits derived. 
Technology Request
The Directorate of Climate Change of the Ministry of Environment and Sustainable Development in Colombia requested support with a verifiable framework and methodology to evaluate and monitor national incentives for optimizing environmental and financial benefits for the country. 
CTCN Support
The CTCN assistance, together with partners the National Renewable Energy Laboratory (NREL), Bariloche Foundation and Energy Research Centre of the Netherlands, resulted in a tool for assessing the performance and efficiency of the economic incentives for energy efficiency and renewable energy implemented by the Colombian government for the industry and transport sector. The assessment included the feasability and convenience of other possible approaches and sectors as well. Ultimately, the assistance provided an expansion of the instruments used to promote energy efficiency. In terms of technological focus, the approaches assessed for the transport and industry sectors were:  
Transport sector:
Technological upgrade of the vehicle fleet 
Shifts in the transport mode

Industrial sector:
Optimization of electric motor systems, including the promotion of equipment replacement with high efficiency units
Optimizations of combustions processes through residual heat recovery.  

For further details, please see Documents section below.
Relevant Technologies and Approaches
Financial incentives
Expected Impact
A tool to monitor and assess the results of incentives and to evaluate the possibility to extend incentives
Enhanced local capacity to design new incentive mechanisms for energy efficiency and monitor results
Contribution    toward    reaching    Colombia’s    national    emission reduction target (a 20 % reduction by 2030 against the business as usual scenario) 
Effective   monitoring,   evaluation   and   adjustment   of   incentive structures  will  economically  benefit  industries  and  stakeholders that   commit   to   reducing   their   environmental   and   climate footprints
Country Partners
Administrative Department for Science, Technology and Innovation (COLCIENCIAS); Ministry of Commerce, Industry and Tourism; Mining and Energy Planning Unit; Ministry of Environment and Sustainable Development; Ministry of Transport; National Authority for Environmental Licenses (ANLA); National University; United Nations Industrial Development Organization (UNIDO)",,,"Affordable and clean energy, Industry, innovation and infrastructure, Climate action","Financial incentives"
2014000006,"National System to Monitor Impact of Colombia's Adaptation Efforts",https://www.ctc-n.org/technical-assistance/projects/national-system-monitor-impact-colombias-adaptation-efforts,"Tue, 03/18/2014",Colombia,,,National,Adaptation,Cross-sectoral,"Governance and planning",,"Decision-making tools and/or information provision",Completed,,"Directorate of Climate Change of the Ministry of Environment and Sustainable Development","12-24 months",$200-250k,"Tropical Agricultural Research and Higher Education Center, UNEP Copenhagen Climate Centre (UNEP-CCC)",,"Disaster risk reduction, Ecosystem monitoring, Monitoring systems, Non-ferrous metals","This Technology Transfer Advances Colombia's
Nationally Determined Contribution to develop ""a national system of adaptation indicators that allows the monitoring and evaluation of the implementation of adaptation measures"" and ""ensure that six priority sectors of the economy (transport, energy, agriculture, housing, health, and trade, tourism and industry) will include climate change consideration in their planning instruments"".
Context
Colombia's Ministry of Environment and Sustainable Development is in charge together with several stakeholders at the national level, to guide the country in adapting to climate change through mainstreaming it into territorial, sectoral and land planning. Finding concrete solutions and measures to implement at the local level will help reducing the vulnerahility of the country and population in addition to a sustainable development of the country. Some territories and sectors are currently developing vulnerability and impact assessments; however the country has found a constraint in homogenizing a methodology that can keep track of several implemented results of Plans and Projects in adaptation to climate change. Following the implementation of nearly 25 adaptation plans and projects in coastal and continental regions, coordinating entities of the National Adaptation Plan of Colombia identified the lack of a robust indicator system for monitoring and evaluating the effectiveness of adaptation actions as one of the main barriers to an integrated adaptation. Therefore, there is a need for assistance in the development of an evaluation and monitoring system that strengthen decision-maker processes about Climate Change strategies and plans at national level, as the evidence on the impact of such interventions appears limited. This system should include a portfolio of indicators that allow evaluating and monitoring of adaptation actions and identify vulnerable regions and monitoring changes in specific regions/cities of the country.
Technology Request
Colombia's Ministry of Environment and Sustainable Development requested support to develop an evaluation and monitoring system including indicators that can be utilized to assess and improve the country's efforts in adapting to climate change. The effort was lead by lead by the Directorate of Climate Change of the Ministry of   Environment   and   Sustainable   Development   (MADS-DCC), in close coordination with the National Department of  Planning  (NPD),  the  Colombian  Institute  for  Hydrology, Meteorology  and  Environmental  Studies  (IDEAM)  and  the National Disaster Risk Management Unit (UNGR). 
CTCN Response
The CTCN and partners, the Tropical Agricultural Research and Higher Education Center and UNEP DTU Partnership, focused on the development of appropriate indicators based on reviews of existing indicators; a review of the actions to be monitored within the National Plan for Adaptation to Climate Change (PNACC); and development of an integrated national monitoring system and protocol. The project was implemented in three phases:
Recommendation of an institution to host and implement the monitoring system;
Identification of existing good practice for monitoring of adaptation in Colombia and globally; and
Development and validation of the monitoring system based on the good practice assessment, with protocols and 
	baselines established for indicators 
For further details, please see Documents section below.
Relevant Technologies and Approaches
Monitoring and evaluation for adaptation
Expected Impact
Short term
Support with reporting on adaptation outcomes and a practical platform for exchange and analysis of experiences with other countries, such as Costa Rica and Mexico. Colombia’s experience has 
	now led to similar initiatives in Costa Rica and Honduras.
Medium term
Robust system to monitor and evaluate effectiveness and the progress
Information to improve current programmes, plan further actions, and attract private and public funding
Ability to evaluate regional vulnerability, and to incorporate climate change variables into a broad range of planning instruments
Long term
Increased   national   capacity   to   capture   the   extent   to   which Colombia’s   adaptation  efforts   lead  to   enhanced  resilience   to climate change, with a specific focus on agricultural, human health and transportation sectors. (In 2014, the agricultural sector had an estimated value of  3.6 billion USD). 
Improved   decision-making   will   contribute   to   increasing   the resilience of 53 million hectares of primary forest ecosystems and the  life  giving  services  they  provide  to  climate  change  mitigation and adaptation 
Generation, verification and evaluation of the following:
Vulnerability baseline in Colombia
Level of compliance with Colombia's vulnerability and risk reduction goals
Inputs for the National Communications and for the Biennnial Reports that Columbia must present to the UNFCCC as a part of its international committments. 
Comparative analysis between regional and sectorial projects
Evaluation of the level of regional vulnerability, allowing to incorporate climate change variables into a wide set of environmental, territorial and sectorial planning instruments
Evaluation the level of performance of adaptation projects that are being implemented, and assess the need to make amendements or reformulations etc.","UNEP Copenhagen Climate Centre (UNEP-CCC), Tropical Agricultural Research and Higher Education Center","UNEP Copenhagen Climate Centre (UNEP-CCC), Tropical Agricultural Research and Higher Education Center","Sustainable cities and communities, Climate action, Life on land","Climate change monitoring, Monitoring and evaluation for adaptation"
2014000014,"Technology of Photovoltaic Solar Cell Design and Manufacturing",https://www.ctc-n.org/technical-assistance/projects/technology-photovoltaic-solar-cell-design-and-manufacturing,"Tue, 06/03/2014",Iran,,,National,Mitigation,"Renewable energy","Governance and planning",,"Research and development of technologies",Completed,,"Presidency Center for Progress and Development of Iran","6-12 months",$20-50k,"The Netherlands Organisation for Applied Scientific Research",,"Renewable energy, Iran (Islamic Republic of), Manufacturing industry, Solar PV","This Technology Transfer Advances Iran's

	Nationally Determined Contribution to mitigate Iran's GHG emissions in 2030 by 4% compared to the Business As Usual scenario through development of e.g. renewable energies. 
	

	Iran's Renewable Energy Roadmap (2014)
	
Context
CTCN is assisting Iran to move towards building the country's first solar photovoltaic cell pilot manufacturing plant  and building up the necessary associated capacity of the national photovoltaic industry.
CTCN Response
•    Capacity building and advice to guide the development of lran's photovoltaic manufacturing industry; 
•    Technical assessment of photovoltaic manufacturing technologies, material supply, knowledge infrastructure suitable for the Iranian context.
Expected Results
Increased awareness and technical capacity for selecting and applying solar photovoltaic manufacturing technologies;
Enhanced capacities for seeking financial resources for pilot manufacturing of solar photovoltaic technologies; 
Long-term support for the solar photovoltaic production and application in Iran; 
Long-term job and market creation within the solar photovoltaic industry.
Relevant Technologies and Approaches
Solar photovoltaic
For further details please see Documents section below
 ",,,"Affordable and clean energy, Industry, innovation and infrastructure, Climate action","Solar PV"
2015000053,"Creating a technology development and education centre to address climate change",https://www.ctc-n.org/technical-assistance/projects/creating-technology-development-and-education-centre-address-climate,"Tue, 07/28/2015",Madagascar,Maharitra,Maharitra,Community-based,"Adaptation, Mitigation",Cross-sectoral,"Communication and awareness",,"Decision-making tools and/or information provision",Completed,,"Ministère de l’Environnement, de l’Ecologie et des Forêts","6-12 months",$100-150k,"Econoler, Le Groupe-conseil baastel",,"Climate change monitoring, Community based, Construction, Madagascar, More efficient train system, Urban infrastructure development","This Technology Transfer Advances Madagascar's
Nationally Determined Contribution to reduce approximately 30 MtCO2 of its emissions of GHG, representing 14% of national emissions, compared to the Business-As-Usual scenario.
Requested CTCN Response
Design informative, awareness-raising and educational tools on climate change
Design education curriculums and programs
Mobilize financial resources to construct the centre
Research and deploy climate technologies
Relevant Technologies and Approaches
Capacity building & training
Knowledge Management Systems
Expected Results
A business plan for the design and operations of the Climate Technology Centre
Design of initial educational programme on climate change technologies
Organisation of pilot training sessions and workshops",,,"Quality education, Climate action","Building efficiency"
2015000041,"Design and financing for crop drying and storage technologies to strengthen food security in the face of climate change",https://www.ctc-n.org/technical-assistance/projects/design-and-financing-crop-drying-and-storage-technologies-strengthen,"Fri, 04/24/2015",Mali,"Groupe d'Appui à la Modernisation de l'Agriculture","Groupe d'Appui à la Modernisation de l'Agriculture",Community-based,"Adaptation, Mitigation","Agriculture and forestry","Capacity building and training, Economics and financial decision-making","Community based","Private sector engagement and market creation",Completed,,"L’ Agence Nationale de la Météorologie",,$20-50k,"Environment and Development Action in the Third World, Private Financing Advisory Network",,"Renewable energy resource mapping, Agriculture, Mali, Community based, Solar PV, Storm surge barriers and closure dams, Disaster risk reduction, Renewable energy, Stakeholder consultations, Designing protected areas, Solar, More efficient train system","This Technology Transfer Advances Mali's
Nationally Determined Contribution to give ""Priority to develop a smart and resilient agriculture, including through the use of renewable energies"".
Context
In Mali, climate variability threatens agricultural productivity and farmer livelihoods. Current methods of crop conservation lead to significant waste in the value chain, and weaken farmers' access to markets, reducing their revenues. Local entrepreneurs seek to install solar photovoltaic-powered processing and storage technologies to improve productivity and resilience, yet lack financial means to do so. The Action Group for Modernisation of Agriculture (GAMA), in Southern Mali aims to improve farming stability in the face of increasing vulnerability of crop production due to climate change. A key piece of their strategy is to use renewable energy source for drying, processing and storage technologies for mangoes, potatoes and gombo. Used at sufficient scale, these technologies increase shelf life and availability of the product to the market, thereby increasing resilience to change and food security. The project has considerable potential to attract private sector financing, but the upfront investment constitutes the main obstacle, and investors are not convinced of its bankability.
Technology Request
The Action Group for Modernisation of Agriculture (GAMA) in Southern Mali together with the Mali Folk Center; Ministry of Agriculture and Ministry of Environment requested support to address the technical and financial barriers faced in implementing the ambitious project of using renewable energy sources for drying, processing and storing technologies for mangoes, potatoes and gombo, as well as to showcase the bankability of such initiatives.
CTCN Support
The CTCN and partners, the Private Financing Advisory Network (PFAN) of the Climate Technology Initiative (CTI), in collaboration with Environment and Development Action in the Third World, provided the following technology assistance in Mali:
Review of the local project aiming at installing technologies using solar potential, to store and dry mangos, potatoes and gombos
Finalization of the business plan and related documents
Development of a cash flow model
Production of an independent feasibility audit to support investment decisions
Provided coaching and support of project members such as training on investor negotiations and facilitation of investor meetings
Design of a scaling up and communication strategy
Recommendations on appropriate technology options
For further details, please see Documents section below.
Key technology addressed
Solar dryer
Expected Results
Short term
Local stakeholders will gain the capacity to make a compelling case for investment from national or international financiers
A showcase of the bankability of such initiatives
Development of financial and business model for project 
Long term 
Removal of technical and financial barriers faced in implementation of the project
Deployment of simple semi-industrial drying and storage facilities enabling off-season availability of mangoes, potatoes and okra
Access to higher margin markets at national and international level for dried fruits and vegetables is increased
More than 500,000 USD injected every year in local economy, creating a multiply effect in the economy
Increased food security for household throughout the year
 ",,,"Zero hunger, Decent work and economic growth, Climate action","Solar dryer"
2014000005,"Identification of climate adaptation technologies with rural communities",https://www.ctc-n.org/technical-assistance/projects/identification-climate-adaptation-technologies-rural-communities,"Fri, 08/29/2014",Mali,,,National,Adaptation,"Agriculture and forestry","Communication and awareness","Community based, Endogenous technologies","Technology identification and prioritisation",Completed,,"L’ Agence Nationale de la Météorologie","6-12 months",$50-100k,"Environment and Development Action in the Third World","UNEP-DHI Partnership – Centre on Water and Environment","Agriculture, Climate change monitoring, Community based, Disaster risk reduction","This Technology Transfer Advances Mali's
Nationally Determined Contribution to ""Address the climate change challenges relevant to agriculture"" and ""Implement a technological action plan for adaptation and mitigation, as well as mobilization of local authorities, communities and vulnerable groups, to increase their resilience to climate change by 2020"". 
Context
Mali has developed policies, strategies, plans and programmes to help address climate change adaptation and mitigation at decentralized and communal levels. Achieving the overall objectives require high impact and low cost climate technologies that strengthen the resilience of vulnerable communities and meet clean development goals. The effective participation of rural populations, particularly women and youth, is vital to the success of these efforts.
Technology Request
The government of Mali requested assistance in the identification of a range of appropriate adaptation climate technologies for farmers and the agriculture communities for each of the agro climatic zones of Mali. The request was made together with the following country partners: National Agency in charge of Environment and Sustainable Development, National Direction of Agriculture, National Direction in charge of Water and Forests, National Direction in charge of Livestock and Hydraulics and Permanent Assembly of Malian Chambers of Commerce.
CTCN Support
The CTCN and partner ENDA, Environment and Development Action in the Third World, provided the following technology assistance in Mali:
Identification of a range of appropriate technologies for adapting to a changing climate adapted to each agro ecological zones of the country, with a focus on sectors such as agriculture and food production, market gardening and fruit arboriculture, composting, renewable energy for productive use (e.g. crop drying and processing), agroforestry, drought etc. 
Dissemination of an easy-to-use Reference Guide of technologies that communities can use to best adapt their agricultural practices with regards to climate change effects. It contains concepts, approaches, methods, tools and different technological solutions, for each of the technologies identified. The guide  also  contains  information  on  the  typology  of  climate hazards,   exposure   and   sensitivity   to   help   the   Malian government  manage  disaster  risks  associated  with  droughts and  floods.  
Design and test of a dissemination strategy for the Reference Guide so it can be used and known by a large number of communities and stakeholders in Mali.
Formulation of key recommendations and steps to the Malian government for ensuring the uptake of best technologies and practices identified in the guide, as well as recommendations for steps to help the Malian government in the development of  a  funding  proposal  to  enable  large-scale  deployment  of the practical technology solutions detailed in this guide on a pilot basis together with local communities. 
For further details, please see Documents section below. 
Video from Mali (in French)
Relevant Technologies and Approaches
Community adaptation planning
Intended Impact
Short term
Identification of 20 appropriate technologies for adapting to a changing climate
Production of a Reference Guide
Design and begin implementation of a dissemination strategy
Recommendations and suggestions for financing large scale deployment
Medium term
Strengthened  knowledge  of  climate  change-related  problems and practical adaptive solutions by local communities 
Local and national decision-makers are mainstreaming climate change in the design and implementation of development plans
Communities in the assistance area are more aware of the role of clean technologies in addressing climate change and managing disasters in Mali. 
Communities in the target area are expected to engage in low carbon development by using cleaner technologies in the agriculture sector
Long term
Clean technologies, green jobs and green enterprises are promoted in Mali. 
Improved climate resilience of Mali’s agro-ecosystems  
The wellbeing and climate resilience of communities and more specifically of the marginalized groups (youth, women, migrants, etc.) are improved as a result of the use of climate smart technologies by the communities. 
The communitie's knowledge of climate change-related problems Mali is enhanced as a result of the use climate smart technologies by the communities
The resilience of the agro-ecosystems are improved as a result of the use of appropriate climate technologies by the communities. ",,,"No poverty, Zero hunger, Decent work and economic growth, Reduced inequalities, Climate action","Community adaptation planning"
