Objective,Sector,Technology group,Technology
Mitigation,Carbon Fixation and Abatement,Fugitive emission control,Oil and gas flaring reduction
Mitigation,Carbon Fixation and Abatement,Fugitive emission control,Coal mine methane
Mitigation,Carbon Fixation and Abatement,Fugitive emission control,Natural gas pipeline leaking
Mitigation,Carbon Fixation and Abatement,Fugitive emission control,Charcoal production
Mitigation,Carbon Fixation and Abatement,Carbon capture and storage,CO2 transport technologies
Mitigation,Carbon Fixation and Abatement,Carbon capture and storage,CO2 storage technologies
Mitigation,Carbon Fixation and Abatement,Carbon capture and storage,CO2 capture technologies
Mitigation,Transport,Inland water & maritime,Maritime freight
Mitigation,Transport,Inland water & maritime,Maritime support systems
Mitigation,Transport,Land transport,Traffic management
Mitigation,Transport,Land transport,More efficient heavy duty vehicles
Mitigation,Transport,Land transport,More efficient light duty vehicles
Mitigation,Transport,Land transport,Modal shift from car to cycling
Mitigation,Transport,Land transport,Modal shift from road to rail
Mitigation,Transport,Land transport,Road pricing
Mitigation,Transport,Land transport,Intelligent transport systems
Mitigation,Transport,Land transport,Scrappage programmes
Mitigation,Transport,Land transport,Transport Demand Management
Mitigation,Transport,Land transport,Freight management
Mitigation,Transport,Land transport,More efficient train system
Mitigation,Transport,Land transport,Transit-oriented development
Mitigation,Transport,Land transport,Bus Rapid Transit
Mitigation,Transport,Land transport,Cable cars
Mitigation,Transport,Land transport,Promotion of non-motorised transport
Mitigation,Transport,Land transport,High-speed rail
Mitigation,Transport,Vehicle and fuel technologies,Compressed Natural Gas as fuel
Mitigation,Transport,Vehicle and fuel technologies,Biogas as fuel
Mitigation,Transport,Vehicle and fuel technologies,Advanced biofuels
Mitigation,Transport,Vehicle and fuel technologies,Energy-efficient motors
Mitigation,Transport,Vehicle and fuel technologies,Liquefied Natural Gas in trucks and cars
Mitigation,Transport,Vehicle and fuel technologies,Electric vehicles
Mitigation,Transport,Vehicle and fuel technologies,Regenerative braking
Mitigation,Transport,Vehicle and fuel technologies,Liquefied Petroleum Gas in transport
Mitigation,Transport,Vehicle and fuel technologies,Fuel cells for mobile applications
Mitigation,Transport,Vehicle and fuel technologies,Hybrid electric vehicles
Mitigation,Transport,Aviation,Aviation support systems
Mitigation,Transport,Aviation,Air cargo
Mitigation,Energy efficiency,Energy distribution,Hydrogen infrastructure
Mitigation,Energy efficiency,Energy distribution,District heating and cooling
Mitigation,Energy efficiency,Energy distribution,Micro-grid
Mitigation,Energy efficiency,Energy distribution,Smart grid
Mitigation,Energy efficiency,Energy distribution,Connection of isolated grid
Mitigation,Energy efficiency,Appliances and equipment,Water efficiency
Mitigation,Energy efficiency,Appliances and equipment,Residential water heaters
Mitigation,Energy efficiency,Appliances and equipment,LPG and LNG for household and commercial cooking
Mitigation,Energy efficiency,Appliances and equipment,Lighting
Mitigation,Energy efficiency,Appliances and equipment,Community-based energy services
Mitigation,Energy efficiency,Appliances and equipment,Appliance standards
Mitigation,Energy efficiency,Appliances and equipment,Efficient server and network technology
Mitigation,Energy efficiency,Appliances and equipment,Improved cook stoves
Mitigation,Energy efficiency,Appliances and equipment,Fuel cell technologies
Mitigation,Energy efficiency,Appliances and equipment,Appliances
Mitigation,Energy efficiency,Appliances and equipment,Water purification
Mitigation,Energy efficiency,Appliances and equipment,Energy labelling
Mitigation,Energy efficiency,Appliances and equipment,Water pumping
Mitigation,Energy efficiency,Buildings,Sustainable design
Mitigation,Energy efficiency,Buildings,Daylight harnessing
Mitigation,Energy efficiency,Buildings,New building design
Mitigation,Energy efficiency,Buildings,Insulation in buildings
Mitigation,Energy efficiency,Buildings,Building envelope thermal insulation
Mitigation,Energy efficiency,Buildings,Building materials
Mitigation,Energy efficiency,Buildings,Building life cycle and integrated design process
Mitigation,Energy efficiency,Buildings,Building standards and codes
Mitigation,Energy efficiency,Buildings,Greening the built environment
Mitigation,Energy efficiency,Buildings,Retrofitting of existing buildings
Mitigation,Energy efficiency,Buildings,Building automation
Mitigation,Energy efficiency,Buildings,Building Energy Management Systems
Mitigation,Energy efficiency,Buildings,Carbon sink and low-carbon building materials
Mitigation,Energy efficiency,Buildings,Heating - Ventilation and Air Conditioning
Mitigation,Energy efficiency,Buildings,Design for Deconstruction
Mitigation,Energy efficiency,Buildings,High performance building facades
Mitigation,Energy efficiency,Buildings,Passive house design
Mitigation,Energy efficiency,Buildings,Traditional building materials and design
Mitigation,Energy efficiency,Buildings,Sustainable spatial planning
Mitigation,Energy efficiency,Buildings,Cool roofs
Mitigation,Energy efficiency,Buildings,Efficient air conditioning systems
Mitigation,Energy efficiency,Buildings,Indirect evaporative cooling
Mitigation,Energy efficiency,Energy storage,Compressed air energy storage
Mitigation,Energy efficiency,Energy storage,Phase change materials for thermal energy storage
Mitigation,Energy efficiency,Energy storage,Capacitors
Mitigation,Energy efficiency,Energy storage,Batteries
Mitigation,Energy efficiency,Energy storage,Pumped hydroelectric energy storage
Mitigation,Energy efficiency,Energy storage,Flywheels
Mitigation,Energy efficiency,Energy storage,Superconducting magnetic energy storage
Mitigation,Energy efficiency,Energy storage,Underground thermal energy storage
Mitigation,Renewable energy,Solar,Solar cooking
Mitigation,Renewable energy,Solar,Solar cooling and hybrid systems with heating and hot water
Mitigation,Renewable energy,Solar,Solar towers (updraft)
Mitigation,Renewable energy,Solar,Solar water purification
Mitigation,Renewable energy,Solar,Building-integrated PV
Mitigation,Renewable energy,Solar,Solar water pumps
Mitigation,Renewable energy,Solar,Solar heating
Mitigation,Renewable energy,Solar,Solar lamps
Mitigation,Renewable energy,Solar,Solar PV
Mitigation,Renewable energy,Solar,Solar thermal power
Mitigation,Renewable energy,Solar,Solar dryer
Mitigation,Renewable energy,Solar,Energy tower (downdraft)
Mitigation,Renewable energy,Solar,Solar water heater
Mitigation,Renewable energy,Renewable energy infrastructure,Hydrogen technologies
Mitigation,Renewable energy,Renewable energy infrastructure,Off-grid systems
Mitigation,Renewable energy,Renewable energy infrastructure,Fuel cells
Mitigation,Renewable energy,Renewable energy infrastructure,Fuel cells for stationary applications
Mitigation,Renewable energy,Renewable energy infrastructure,Renewable energy resource mapping
Mitigation,Renewable energy,Renewable energy infrastructure,Grid integration for renewables
Mitigation,Renewable energy,Hydro,Run-of-river hydropower
Mitigation,Renewable energy,Ocean energy,Osmotic power
Mitigation,Renewable energy,Ocean energy,Ocean thermal energy conversion
Mitigation,Renewable energy,Ocean energy,Wave energy
Mitigation,Renewable energy,Ocean energy,Tidal energy
Mitigation,Renewable energy,Wind,On-shore wind
Mitigation,Renewable energy,Wind,Building-integrated wind turbines
Mitigation,Renewable energy,Wind,Offshore wind
Mitigation,Renewable energy,Wind,Wind water pumping
Mitigation,Renewable energy,Wind,Small-scale wind
Mitigation,Renewable energy,Bioenergy,Biofuels from algae
Mitigation,Renewable energy,Bioenergy,Switch from fossil fuel to biomass
Mitigation,Renewable energy,Bioenergy,Biogas for heating
Mitigation,Renewable energy,Bioenergy,Energy supply from waste
Mitigation,Renewable energy,Bioenergy,Biogas power
Mitigation,Renewable energy,Bioenergy,Biomass briquettes or pellets
Mitigation,Renewable energy,Bioenergy,Biomass for heating
Mitigation,Renewable energy,Bioenergy,Black liquor
Mitigation,Renewable energy,Bioenergy,Biomass power
Mitigation,Renewable energy,Bioenergy,Ethanol fuel
Mitigation,Renewable energy,Bioenergy,Biodiesel
Mitigation,Renewable energy,Bioenergy,Biodiesel from waste oil
Mitigation,Renewable energy,Bioenergy,Charcoal production for cooking and heating
Mitigation,Renewable energy,Bioenergy,Household biogas
Mitigation,Renewable energy,Geothermal,Heat pumps
Mitigation,Renewable energy,Geothermal,Geothermal electricity
Mitigation,Renewable energy,Geothermal,Geothermal heating
Mitigation,Waste Management,Solid waste,Landfill aeration
Mitigation,Waste Management,Solid waste,Gasification of waste
Mitigation,Waste Management,Solid waste,Integrated solid waste management
Mitigation,Waste Management,Solid waste,Landfill biocovers
Mitigation,Waste Management,Solid waste,Landfill composting
Mitigation,Waste Management,Solid waste,Industrial solid waste
Mitigation,Waste Management,Solid waste,Municipal solid waste
Mitigation,Waste Management,Solid waste,Landfill gas power
Mitigation,Waste Management,Solid waste,Incineration of waste
Mitigation,Waste Management,Solid waste,Landfill gas flaring
